"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"000","LEADER","LEADER","0","1","",""
"001","CONTROL NUMBER","CONTROL NUMBER","0","0","",""
"003","CONTROL NUMBER IDENTIFIER","CONTROL NUMBER IDENTIFIER","0","1","",""
"005","DATE AND TIME OF LATEST TRANSACTION","DATE AND TIME OF LATEST TRANSACTION","0","1","",""
"006","FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION","FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION","1","0","",""
"007","PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION","PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION","1","0","",""
"008","FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION","FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION","0","1","",""
"009","PHYSICAL DESCRIPTION FIXED-FIELD FOR ARCHIVAL COLLECTION (VM) [OBSOLETE]","PHYSICAL DESCRIPTION FIXED-FIELD FOR ARCHIVAL COLLECTION (VM) [OBSOLETE]","1","0","",""
"010","LIBRARY OF CONGRESS CONTROL NUMBER","LIBRARY OF CONGRESS CONTROL NUMBER","0","0","",""
"011","LINKING LIBRARY OF CONGRESS CONTROL NUMBER [OBSOLETE]","LINKING LIBRARY OF CONGRESS CONTROL NUMBER [OBSOLETE]","0","0","",""
"013","PATENT CONTROL INFORMATION","PATENT CONTROL INFORMATION","1","0","",""
"015","NATIONAL BIBLIOGRAPHY NUMBER","NATIONAL BIBLIOGRAPHY NUMBER","1","0","",""
"016","NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER","NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER","1","0","",""
"017","COPYRIGHT OR LEGAL DEPOSIT NUMBER","COPYRIGHT OR LEGAL DEPOSIT NUMBER","1","0","",""
"018","COPYRIGHT ARTICLE-FEE CODE","COPYRIGHT ARTICLE-FEE CODE","0","0","",""
"01e","CODED FIELD ERROR (RLIN)","CODED FIELD ERROR (RLIN)","1","0","",""
"020","INTERNATIONAL STANDARD BOOK NUMBER","INTERNATIONAL STANDARD BOOK NUMBER","1","0","",""
"022","INTERNATIONAL STANDARD SERIAL NUMBER","INTERNATIONAL STANDARD SERIAL NUMBER","1","0","",""
"023","STANDARD FILM NUMBER (VM) [DELETED]","STANDARD FILM NUMBER (VM) [DELETED]","1","0","",""
"024","OTHER STANDARD IDENTIFIER","OTHER STANDARD IDENTIFIER","1","0","",""
"025","OVERSEAS ACQUISITION NUMBER","OVERSEAS ACQUISITION NUMBER","1","0","",""
"026","FINGERPRINT IDENTIFIER","FINGERPRINT IDENTIFIER","1","0","",""
"027","STANDARD TECHNICAL REPORT NUMBER","STANDARD TECHNICAL REPORT NUMBER","1","0","",""
"028","PUBLISHER NUMBER","PUBLISHER NUMBER","1","0","",""
"029","OTHER SYSTEM CONTROL NUMBER (OCLC)"," (OCLC)","1","0","",""
"030","CODEN DESIGNATION","CODEN DESIGNATION","1","0","",""
"031","MUSICAL INCIPITS INFORMATION","MUSICAL INCIPITS INFORMATION","1","0","",""
"032","POSTAL REGISTRATION NUMBER","POSTAL REGISTRATION NUMBER","1","0","",""
"033","DATE/TIME AND PLACE OF AN EVENT","DATE/TIME AND PLACE OF AN EVENT","1","0","",""
"034","CODED CARTOGRAPHIC MATHEMATICAL DATA","CODED CARTOGRAPHIC MATHEMATICAL DATA","1","0","",""
"035","SYSTEM CONTROL NUMBER","SYSTEM CONTROL NUMBER","1","0","",""
"036","ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES","ORIGINAL STUDY NUMBER FOR COMPUTER DATA FILES","0","0","",""
"037","SOURCE OF ACQUISITION","SOURCE OF ACQUISITION","1","0","",""
"038","RECORD CONTENT LICENSOR","RECORD CONTENT LICENSOR","0","0","",""
"039","LEVEL OF BIBLIOGRAPHIC CONTROL AND CODING DETAIL [OBSOLETE]","LEVEL OF BIBLIOGRAPHIC CONTROL AND CODING DETAIL [OBSOLETE]","0","0","",""
"040","CATALOGING SOURCE","CATALOGING SOURCE","0","1","",""
"041","LANGUAGE CODE","LANGUAGE CODE","1","0","",""
"042","AUTHENTICATION CODE","AUTHENTICATION CODE","0","0","",""
"043","GEOGRAPHIC AREA CODE","GEOGRAPHIC AREA CODE","0","0","",""
"044","COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE","COUNTRY OF PUBLISHING/PRODUCING ENTITY CODE","0","0","",""
"045","TIME PERIOD OF CONTENT","TIME PERIOD OF CONTENT","0","0","",""
"046","SPECIAL CODED DATES","SPECIAL CODED DATES","1","0","",""
